county_name,geoId,value
Alamance,us-nc-001,0.000360499
Alexander,us-nc-003,0.000214173
Anson,us-nc-007,8.04E-05
Brunswick,us-nc-019,0.000453402
Buncombe,us-nc-021,0.001215733
Burke,us-nc-023,0.000354053
Cabarrus,us-nc-025,0.00048263
Caldwell,us-nc-027,0.000182862
Camden,us-nc-029,0
Catawba,us-nc-035,0.000712251
Chatham,us-nc-037,0.000355487
Craven,us-nc-049,0.000602456
Cumberland,us-nc-051,0.001299913
Currituck,us-nc-053,7.39E-05
Davidson,us-nc-057,0.000234074
Davie,us-nc-059,0.000280813
Durham,us-nc-063,0.001300756
Edgecombe,us-nc-065,0.000307663
Forsyth,us-nc-067,0.001463998
Franklin,us-nc-069,8.88E-05
Gaston,us-nc-071,0.000489127
Gates,us-nc-073,0.000259224
Granville,us-nc-077,0.0003826
Guilford,us-nc-081,0.000682069
Harnett,us-nc-085,0.000625866
Haywood,us-nc-087,0.000258185
Henderson,us-nc-089,0.000625278
Hoke,us-nc-093,0.000438244
Iredell,us-nc-097,0.000498781
Johnston,us-nc-101,0.000444061
Jones,us-nc-103,0.000415067
Lincoln,us-nc-109,0.000262624
Madison,us-nc-115,0.000183798
Mecklenburg,us-nc-119,0.000839198
Nash,us-nc-127,0.000627553
New Hanover,us-nc-129,0.001119368
Onslow,us-nc-133,0.000581739
Orange,us-nc-135,0.000705349
Pamlico,us-nc-137,0.00023678
Pender,us-nc-141,0.000209131
Person,us-nc-145,0.000506239
Pitt,us-nc-147,0.000822615
Randolph,us-nc-151,0.000341818
Rockingham,us-nc-157,0.000275664
Rowan,us-nc-159,0.000566324
Stokes,us-nc-169,0.000197946
Union,us-nc-179,0.000275531
Wake,us-nc-183,0.000617959
Wayne,us-nc-191,0.000559847
Yadkin,us-nc-197,0.000159817
Alleghany,us-nc-005,0.000179195
Ashe,us-nc-009,0.000295105
Avery,us-nc-011,5.71E-05
Beaufort,us-nc-013,0.000339854
Bertie,us-nc-015,0.000315358
Bladen,us-nc-017,0.000301296
Carteret,us-nc-031,0.000560957
Caswell,us-nc-033,0.000176227
Cherokee,us-nc-039,0.000387556
Chowan,us-nc-041,0.000213843
Clay,us-nc-043,0.000269324
Cleveland,us-nc-045,0.000337959
Columbus,us-nc-047,0.000395292
Dare,us-nc-055,0.000410948
Duplin,us-nc-061,0.000288841
Graham,us-nc-075,0.000235738
Greene,us-nc-079,9.52E-05
Halifax,us-nc-083,0.00039546
Hertford,us-nc-091,0.000422672
Hyde,us-nc-095,0.000191205
Jackson,us-nc-099,0.000484686
Lee,us-nc-105,0.000699733
Lenoir,us-nc-107,0.000375161
Macon,us-nc-113,0.000255066
Martin,us-nc-117,0.000308765
McDowell,us-nc-111,0.000659239
Mitchell,us-nc-121,0.0008
Montgomery,us-nc-123,0.000220014
Moore,us-nc-125,0.001064024
Northampton,us-nc-131,0.000101647
Pasquotank,us-nc-139,0.000630692
Perquimans,us-nc-143,0.000223514
Polk,us-nc-149,0.000485178
Richmond,us-nc-153,0.000155947
Robeson,us-nc-155,0.000530983
Rutherford,us-nc-161,0.000374106
Sampson,us-nc-163,0.000282903
Scotland,us-nc-165,0.000804367
Stanly,us-nc-167,0.000273862
Surry,us-nc-171,0.000416968
Swain,us-nc-173,0.001123201
Transylvania,us-nc-175,0.000292269
Tyrrell,us-nc-177,0
Vance,us-nc-181,0.000740209
Warren,us-nc-185,0.000100974
Washington,us-nc-187,0.000252972
Watauga,us-nc-189,0.000464742
Wilkes,us-nc-193,0.000408419
Wilson,us-nc-195,0.000527899
Yancey,us-nc-199,0.000223426